symbol,mint,is_runner,final_mc,pump_time,migration_detected,10min_avg_buy_size,10min_big_buys_100,10min_big_buys_300,10min_big_buys_500,10min_buy_ratio,10min_buys,10min_mc,10min_sells,10min_smart_money_count,10min_total_buy_volume,10min_total_sell_volume,10min_traders,10min_txn,10min_whale_count,10min_whale_ratio,10min_whale_trades_ratio,10min_whale_volume_usd,10s_avg_buy_size,10s_big_buys_100,10s_big_buys_300,10s_big_buys_500,10s_buy_ratio,10s_buys,10s_mc,10s_sells,10s_smart_money_count,10s_total_buy_volume,10s_total_sell_volume,10s_traders,10s_txn,10s_whale_count,10s_whale_ratio,10s_whale_trades_ratio,10s_whale_volume_usd,15min_avg_buy_size,15min_big_buys_100,15min_big_buys_300,15min_big_buys_500,15min_buy_ratio,15min_buys,15min_mc,15min_sells,15min_smart_money_count,15min_total_buy_volume,15min_total_sell_volume,15min_traders,15min_txn,15s_avg_buy_size,15s_big_buys_100,15s_big_buys_300,15s_big_buys_500,15s_buy_ratio,15s_buys,15s_mc,15s_sells,15s_smart_money_count,15s_total_buy_volume,15s_total_sell_volume,15s_traders,15s_txn,15s_whale_count,15s_whale_ratio,15s_whale_trades_ratio,15s_whale_volume_usd,1min_avg_buy_size,1min_big_buys_100,1min_big_buys_300,1min_big_buys_500,1min_buy_ratio,1min_buys,1min_mc,1min_sells,1min_smart_money_count,1min_total_buy_volume,1min_total_sell_volume,1min_traders,1min_txn,1min_whale_count,1min_whale_ratio,1min_whale_trades_ratio,1min_whale_volume_usd,20s_avg_buy_size,20s_big_buys_100,20s_big_buys_300,20s_big_buys_500,20s_buy_ratio,20s_buys,20s_mc,20s_sells,20s_smart_money_count,20s_total_buy_volume,20s_total_sell_volume,20s_traders,20s_txn,20s_whale_count,20s_whale_ratio,20s_whale_trades_ratio,20s_whale_volume_usd,2min_avg_buy_size,2min_big_buys_100,2min_big_buys_300,2min_big_buys_500,2min_buy_ratio,2min_buys,2min_mc,2min_sells,2min_smart_money_count,2min_total_buy_volume,2min_total_sell_volume,2min_traders,2min_txn,2min_whale_count,2min_whale_ratio,2min_whale_trades_ratio,2min_whale_volume_usd,30s_avg_buy_size,30s_big_buys_100,30s_big_buys_300,30s_big_buys_500,30s_buy_ratio,30s_buys,30s_mc,30s_sells,30s_smart_money_count,30s_total_buy_volume,30s_total_sell_volume,30s_traders,30s_txn,30s_whale_count,30s_whale_ratio,30s_whale_trades_ratio,30s_whale_volume_usd,3min_avg_buy_size,3min_big_buys_100,3min_big_buys_300,3min_big_buys_500,3min_buy_ratio,3min_buys,3min_mc,3min_sells,3min_smart_money_count,3min_total_buy_volume,3min_total_sell_volume,3min_traders,3min_txn,3min_whale_count,3min_whale_ratio,3min_whale_trades_ratio,3min_whale_volume_usd,5min_avg_buy_size,5min_big_buys_100,5min_big_buys_300,5min_big_buys_500,5min_buy_ratio,5min_buys,5min_mc,5min_sells,5min_smart_money_count,5min_total_buy_volume,5min_total_sell_volume,5min_traders,5min_txn,5min_whale_count,5min_whale_ratio,5min_whale_trades_ratio,5min_whale_volume_usd,8min_avg_buy_size,8min_big_buys_100,8min_big_buys_300,8min_big_buys_500,8min_buy_ratio,8min_buys,8min_mc,8min_sells,8min_smart_money_count,8min_total_buy_volume,8min_total_sell_volume,8min_traders,8min_txn,8min_whale_count,8min_whale_ratio,8min_whale_trades_ratio,8min_whale_volume_usd,supply_top_10_percent,supply_top_3_percent,supply_top_5_percent,total_holders,whale_count,whale_total_volume_usd
WHPP,B7vHBr1EQc4h7JWxkHqEbWszvj8xt7KFWFWZ2uu3CVuF,1,26461.688702261737,196.95733904838562,0,,,,,,,,,,,,,,,,,,154.14198629333333,8,2,1,0.625,15,7992.503743913037,9,3,2312.1297944,2250.480539,18,24,1,0.06666666666666667,0.08333333333333333,909.745189,,,,,,,,,,,,,,132.28403175,8,2,1,0.5128205128205128,20,6641.41994375787,19,3,2645.680635,3577.5240788,23,39,1,0.05,0.05128205128205128,909.745189,129.87448594814816,24,6,2,0.6067415730337079,54,12404.84797356215,35,3,7013.2222412,5638.4738756,50,89,1,0.037037037037037035,0.02247191011235955,909.745189,132.32690683478262,10,2,1,0.5111111111111111,23,5893.080975231983,22,3,3043.5188572,3940.1188429999997,26,45,1,0.043478260869565216,0.044444444444444446,909.745189,83.69048612089551,35,7,3,0.6666666666666666,134,13386.210333776258,67,3,11214.5251402,9563.2042096,103,201,1,0.022388059701492536,0.009950248756218905,909.745189,127.43095464444444,12,2,1,0.5294117647058824,27,6788.929188036505,24,3,3440.6357754,4291.9714252,30,51,1,0.037037037037037035,0.0392156862745098,909.745189,74.81354823035714,47,10,4,0.6646884272997032,224,15925.776546650366,113,3,16758.2348036,14021.1413744,160,337,2,0.017857142857142856,0.017804154302670624,1167.2852692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.72106713245285,23.909253165339763,30.45925444885611,114,3,2145.063045
[CNT4C6GE...],CNT4C6GEaJRm3Xy573LTBXJR4t7uTkmfzKsMTGfNpump,1,25624.1281127065,46.33476972579956,0,,,,,,,,,,,,,,,,,,103.2231523625,6,0,0,0.6153846153846154,16,8172.082901174134,10,2,1651.5704378,1297.2707684,19,26,0,0.0,0.0,0,,,,,,,,,,,,,,80.13673309142857,9,0,0,0.7608695652173914,35,10568.792756371571,11,5,2804.7856582,1347.8536815999998,38,46,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,81.5502189,10,0,0,0.5901639344262295,36,10595.519146923427,25,5,2935.8078804,1476.2724097999999,39,61,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,101.74923583157894,21,1,0,0.5089285714285714,57,17365.544216650735,55,5,5799.7064424,2174.1773776,59,112,1,0.0,0.008928571428571428,243.6213986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17766210481328,25.91680840024319,34.50000946482262,67,2,1221.399175
[J24S94ie...],J24S94iepaEmH1uv2ZKMW2MksdsVyWQBMqWCu7S8pump,1,25062.407795749477,55.672197580337524,0,,,,,,,,,,,,,,,,,,592.7625790000001,2,1,1,0.6,3,9420.16045471363,2,2,1778.287737,221.16555219999998,4,5,0,0.3333333333333333,0.0,0,,,,,,,,,,,,,,414.32421408,4,1,1,0.625,5,9270.080699030685,3,2,2071.6210704,718.6331288,6,8,0,0.2,0.0,0,,,,,,,,,,,,,,,,,,236.5826985368421,13,1,1,0.76,19,11942.227443847823,6,2,4495.0712722,1155.0336214,17,25,1,0.05263157894736842,0.04,293.333333,,,,,,,,,,,,,,,,,,168.69459174166667,23,4,2,0.7741935483870968,48,19799.474732465624,14,2,8097.3404036,2925.2460434,43,62,2,0.041666666666666664,0.03225806451612903,586.6666662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.78073031341861,19.257866986752255,28.116049555286686,78,4,1179.6822018
[5mUHHtcM...],5mUHHtcMDYLBfi88Cjvkj33KdSWywP1igP2o2Mggpump,1,25907.683122489685,117.47344136238098,0,,,,,,,,,,,,,,,,,,146.55289276666667,7,1,0,0.7058823529411765,12,8260.537036884714,5,2,1758.6347132,1027.8484024,12,17,0,0.0,0.0,0,,,,,,,,,,,,,,121.15342529333334,7,1,0,0.75,15,8166.630779451409,5,2,1817.3013794,1027.8484024,13,20,0,0.0,0.0,0,100.47198053599999,16,4,0,0.8333333333333334,50,15643.385143363324,10,2,5023.5990268,1537.2682072,48,60,0,0.0,0.0,0,121.15342529333334,7,1,0,0.7142857142857143,15,8163.412061052683,6,2,1817.3013794,1108.5290752,13,21,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,121.15342529333334,7,1,0,0.625,15,7702.455060860001,9,2,1817.3013794,1513.1650744,14,24,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.46942326710889,29.019683695476722,39.765607964485056,57,1,592.4999994
[iCEhynCM...],iCEhynCMrgPJufugmhm1PRXh5pBkXPqcuipPppCpump,1,73779.29264662632,102.40688371658325,1,,,,,,,,,,,,,,,,,,321.163250125,5,5,1,0.8,8,12716.031281972784,2,5,2569.306001,138.0,9,10,1,0.125,0.1,493.82716020000004,,,,,,,,,,,,,,216.94374969090907,11,8,2,0.7857142857142857,22,14867.306961249014,6,10,4772.7624932,1567.0743536,23,28,2,0.09090909090909091,0.07142857142857142,843.0576698,176.1844571726496,36,22,13,0.5679611650485437,117,36661.669749040215,89,10,20613.5814892,11857.2731234,95,206,3,0.1111111111111111,0.05339805825242718,2936.855438,171.12519072258064,13,8,2,0.6888888888888889,31,13301.09343319873,14,10,5304.8809124,2613.0122804,32,45,2,0.06451612903225806,0.06666666666666667,927.7840262000001,,,,,,,,,,,,,,,,,,186.1420850241379,22,15,7,0.6444444444444445,58,24254.99815128447,32,10,10796.2409314,4867.8721788,55,90,3,0.1206896551724138,0.06666666666666667,1842.7864272000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.64438752465574,89.92739917235187,91.81890855245778,61,3,3864.6409621999996
[53vs1B5K...],53vs1B5KSTo5ESasVtfMPfeMCQ4veBRKSXGXbsXqpump,1,37057.93392119333,600.4242448806763,0,85.57209526719576,95,25,5,0.6227347611202636,378,37057.93392119333,229,14,32346.252011,24422.531303,249,607,4,0.013227513227513227,0.009884678747940691,1314.539111,211.81409675675675,26,11,2,0.5441176470588235,37,17576.935482749923,31,14,7837.12158,4201.5593758,41,68,1,0.05405405405405406,0.014705882352941176,79.657884,,,,,,,,,,,,,,200.915199975,27,11,2,0.5063291139240507,40,14073.968091311823,39,14,8036.607999,5171.7911326,44,79,1,0.05,0.012658227848101266,79.657884,150.97589432957747,35,12,2,0.5220588235294118,71,13437.231452888682,65,14,10719.2884974,8034.659203,67,136,2,0.028169014084507043,0.029411764705882353,524.4156578,200.915199975,27,11,2,0.4878048780487805,40,13802.511461962473,42,14,8036.607999,5401.308496600001,44,82,1,0.05,0.024390243902439025,136.1805844,136.7137001172414,37,13,2,0.4860335195530726,87,11592.95792455834,92,14,11894.0919102,10219.6513612,81,179,2,0.022988505747126436,0.0223463687150838,524.4156578,175.07148731320754,31,12,2,0.5096153846153846,53,15028.740831925146,51,14,9278.7888276,6346.7187152,51,104,2,0.03773584905660377,0.028846153846153848,333.7114482,122.92377958833335,45,13,2,0.5381165919282511,120,16955.158347931327,103,14,14750.8535506,11237.9889574,104,223,2,0.016666666666666666,0.017937219730941704,524.4156578,99.89834460689654,63,15,3,0.5670391061452514,203,18193.82201368076,155,14,20279.3639552,16968.8388498,148,358,2,0.014778325123152709,0.0111731843575419,524.4156578,90.39345358498294,80,19,4,0.602880658436214,293,26212.855681944926,193,14,26485.2819004,20876.133985200002,198,486,2,0.013651877133105802,0.00823045267489712,524.4156578,33.49072383283719,12.660222475325142,19.495834044431138,186,4,1314.5391109999998
[9KdbkMQ7...],9KdbkMQ7pEwRegnEsvXAvBf6aJr3CUpQRBKThmvFpump,1,25715.95416219763,600.8065040111542,0,70.31379736486487,108,25,5,0.5906499429874572,518,25715.95416219763,359,11,36422.547035,33193.5468826,327,877,3,0.009652509652509652,0.0068415051311288486,2245.688325,101.42436758,17,4,0,0.7142857142857143,40,14639.338710219645,16,8,4056.9747032,1473.6644522,42,56,0,0.0,0.0,0,,,,,,,,,,,,,,95.21195719655174,23,4,0,0.6744186046511628,58,15177.20677525877,28,11,5522.2935174,2539.5599672,61,86,0,0.0,0.0,0,92.92257098958333,30,9,1,0.6075949367088608,96,15512.728322481325,62,11,8920.566815,5810.259101,89,158,0,0.010416666666666666,0.0,0,90.028891753125,24,4,0,0.6213592233009708,64,15080.325562532571,39,11,5761.8490722,2808.7232526,65,103,0,0.0,0.0,0,84.16687923294118,44,13,3,0.6296296296296297,170,24124.357659358982,100,11,14308.3694696,8702.8644998,151,270,1,0.01764705882352941,0.003703703703703704,586.6666657999999,88.58556591142857,25,5,0,0.603448275862069,70,16080.043370140249,46,11,6200.9896138,3317.6508645999997,68,116,0,0.0,0.0,0,74.04895180840336,52,14,3,0.6279683377308707,238,19280.08613651871,141,11,17623.6505304,15128.9880084,193,379,2,0.012605042016806723,0.005277044854881266,981.7283929999999,69.13943059875389,66,16,3,0.6161228406909789,321,20516.929928123525,200,11,22193.757222199998,19879.0837178,229,521,2,0.009345794392523364,0.007677543186180422,1830.9383263999998,71.72221994977778,95,23,5,0.5944517833553501,450,26873.83153130059,307,11,32274.9989774,28509.8545972,290,757,3,0.011111111111111112,0.0066050198150594455,2225.938325,34.10703003921613,12.784976427782407,19.113366709616262,190,3,2245.6883249999996
[H259BVXZ...],H259BVXZebKsHskhWSXD3NLbb3ommRhdrXPycK2epump,0,5603.480012422452,618.7372591495514,0,83.07001677623762,26,5,1,0.5343915343915344,101,5603.480012422452,88,6,8390.0716944,8680.3318494,72,189,1,0.009900990099009901,0.015873015873015872,1034.181779,211.2398814,5,3,1,0.8181818181818182,9,8524.884654876372,2,3,1901.1589326,798.9128585999999,10,11,1,0.1111111111111111,0.09090909090909091,509.78773759999996,,,,,,,,,,,,,,178.03591682352942,8,4,1,0.68,17,10626.299314523836,8,6,3026.6105860000002,1345.078568,17,25,1,0.058823529411764705,0.04,509.78773759999996,111.10797224,18,5,1,0.7432432432432432,55,14688.494441601495,19,6,6110.9384732,2702.3609204,46,74,1,0.01818181818181818,0.013513513513513514,509.78773759999996,158.413112304,11,4,1,0.7352941176470589,25,12451.561094440069,9,6,3960.3278076,1498.7920132,25,34,1,0.04,0.029411764705882353,509.78773759999996,85.25480509072165,26,5,1,0.6139240506329114,97,8977.373112119329,61,6,8269.7160938,6938.3451022,70,158,1,0.010309278350515464,0.0189873417721519,1034.181779,129.06907990000002,13,4,1,0.7083333333333334,34,11184.614151620595,14,6,4388.3487166,2218.5334804,31,48,1,0.029411764705882353,0.020833333333333332,509.78773759999996,83.07001677623762,26,5,1,0.543010752688172,101,5642.2852392295445,85,6,8390.0716944,8651.4506432,72,186,1,0.009900990099009901,0.016129032258064516,1034.181779,83.07001677623762,26,5,1,0.5401069518716578,101,5647.654561699356,86,6,8390.0716944,8670.3548502,72,187,1,0.009900990099009901,0.016042780748663103,1034.181779,83.07001677623762,26,5,1,0.5372340425531915,101,5620.503552994956,87,6,8390.0716944,8671.2720118,72,188,1,0.009900990099009901,0.015957446808510637,1034.181779,78.75336262073515,53.11901194080549,65.22049475507673,48,1,1034.181779
[Ag77pPbr...],Ag77pPbrXTia7f3vkzfkqQ2Fb2ehHtMfdpv2KSnpump,0,5691.183579371906,644.8925564289093,0,0,0,0,0,0,0,5691.183579371906,0,0,0,0,0,0,,,,,0,0,0,0,0,0,5691.183579371906,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5691.183579371906,0,0,0,0,0,0,,,,,0,0,0,0,0,0,5691.183579371906,0,0,0,0,0,0,,,,,0,0,0,0,0,0,5691.183579371906,0,0,0,0,0,0,,,,,0,0,0,0,0,0,5691.183579371906,0,0,0,0,0,0,,,,,0,0,0,0,0,0,5691.183579371906,0,0,0,0,0,0,,,,,0,0,0,0,0,0,5691.183579371906,0,0,0,0,0,0,,,,,0,0,0,0,0,0,5691.183579371906,0,0,0,0,0,0,,,,,0,0,0,0,0,0,5691.183579371906,0,0,0,0,0,0,,,,,100.0,100.0,100.0,1,0,0
[DyNCkf1X...],DyNCkf1XQ4buqP1r3epoh1LvhaBNztbHy13fWruUpump,0,13649.109379302425,640.8135900497437,0,198.67637695,13,1,0,0.8888888888888888,16,13649.109379302425,2,0,3178.8220312,188.9887162,18,18,0,0.0,0.0,0,0,0,0,0,0.0,0,6313.227752880503,2,0,0,188.9887162,2,2,0,0,0.0,0,,,,,,,,,,,,,,0,0,0,0,0.0,0,6313.227752880503,2,0,0,188.9887162,2,2,0,0,0.0,0,0,0,0,0,0.0,0,6313.227752880503,2,0,0,188.9887162,2,2,0,0,0.0,0,0,0,0,0,0.0,0,6313.227752880503,2,0,0,188.9887162,2,2,0,0,0.0,0,158.02469100000002,1,0,0,0.3333333333333333,1,6832.04939783035,2,0,158.02469100000002,188.9887162,3,3,0,0.0,0.0,0,0,0,0,0,0.0,0,6313.227752880503,2,0,0,188.9887162,2,2,0,0,0.0,0,190.94650173333335,3,0,0,0.6,3,7670.236810435078,2,0,572.8395052000001,188.9887162,5,5,0,0.0,0.0,0,205.43209848,5,0,0,0.7142857142857143,5,8763.265847273395,2,0,1027.1604924,188.9887162,7,7,0,0.0,0.0,0,211.83753164,13,1,0,0.8823529411764706,15,13713.390434515159,2,0,3177.5629746,188.9887162,17,17,0,0.0,0.0,0,82.641237653035,27.469829585202447,44.429639165612656,16,0,0
