feature,importance
time_to_40k,0.17601257029485187
time_to_20k,0.09242642186077742
ath_mc,0.09052037006421866
ath_time,0.06147045700285477
time_to_10k,0.05771834418039525
max_drawdown,0.05130605333414237
1min_mc,0.039710876187468366
volatility,0.03838366470268102
gain_percent_from_start,0.037003437890286046
30s_mc,0.03694032832899206
10min_mc,0.03511078405687523
5min_mc,0.030266569661349458
total_holders,0.028438972941403587
15s_mc,0.02349901044624574
10s_mc,0.022180193166540862
top_10_percent,0.01553602689501939
avg_hold_time,0.012956953916062587
paper_hands_count,0.012757472792687621
7s_mc,0.01207817637128008
avg_velocity,0.01089751278822614
top_3_percent,0.010891166259152221
5s_mc,0.010073660126524775
3s_mc,0.009084087321172232
holder_ratio,0.008360839567057781
peak_velocity,0.005559275935514196
mc_growth_10s_to_1min,0.004778283435754654
momentum_score,0.004632144816943645
mc_growth_30s_to_5min,0.004032061471211653
10min_txn,0.0038457210588645025
30s_traders,0.003402908382400752
1min_traders,0.0031067184545033434
15s_buys,0.0029859318221643425
diamond_hands_count,0.0026642040171722275
15s_buy_ratio,0.002520300222512319
whale_entry_10k_to_20k,0.0022794899742284275
10min_buy_ratio,0.0021385113444039507
mc_growth_10s_to_30s,0.001973695972508873
1min_buy_ratio,0.0019337513331405584
acceleration,0.001880974462190576
15s_txn,0.0018495139811195813
5min_traders,0.0017355038999076846
5min_buy_ratio,0.001662728805543031
whale_exit_count,0.0015835439575898253
7s_traders,0.0015470133436997597
5min_txn,0.001379247490641275
15s_traders,0.0012601464813723144
30s_big_buys_100,0.001250393017502862
trader_growth_10s_to_30s,0.001161024052658983
txn_velocity_10s,0.001058219185064295
5s_buy_ratio,0.0010397531618678707
num_whale_wallets,0.0010389088511600167
3s_traders,0.0008268993699790183
whale_entry_before_10k,0.0007646861680766237
txn_velocity_30s,0.0007023506416029105
trader_growth_10s_to_1min,0.0006355228788574356
10s_buy_ratio,0.0006311761360076065
7s_buy_ratio,0.0006273196542119591
15s_total_buy_volume,0.0006233625046399838
num_dumps,0.0005697473062055335
whale_count,0.0005139839354146017
whale_total_volume,0.000510127780572057
10s_txn,0.0004917673788411609
10s_traders,0.00045123887957817355
30s_txn,0.0004150241629168912
30s_buy_ratio,0.0004093570368129456
7s_txn,0.0003996354382775813
txn_velocity_1min,0.00035649844614398505
1min_txn,0.00024623387744133394
3s_txn,0.00023453836461418044
early_signal_score,0.0002327962632395695
10s_smart_money,0.00020736331710529025
10s_big_buys_100,0.0002050587479993846
10s_sells,0.00019388987878883634
5s_txn,0.0001767014797165291
5s_traders,0.0001734005197621501
30s_big_buys_500,0.00015038426566040973
15s_big_buys_100,0.00015034025258588935
15s_sells,0.00014066382597213093
10s_buys,0.0001373628211473976
3s_buy_ratio,0.0001359514643800799
whale_confidence,0.00013276936682057254
1min_big_buys_500,0.0001285650616068863
num_pumps,0.00011466321109685024
15s_big_buys_500,9.299617615429483e-05
10s_total_buy_volume,6.623553625210188e-05
30s_whale_count,6.187114219707705e-05
15s_whale_count,5.834462635788077e-05
10s_whale_count,5.401598194604612e-05
15s_smart_money,3.38106834741753e-05
10s_big_buys_500,1.942632963544089e-05
time_to_69k,2.3017831699694992e-18
